	datetime	open	high	low	close	volume
0	30.09.2025 00:00	90.749	90.907	89.485	89.751	333
1	01.10.2025 00:00	89.892	89.908	88.198	88.471	407
2	02.10.2025 00:00	88.512	88.65	87.379	87.969	561
3	03.10.2025 00:00	88.051	90.01	88.016	89.801	183
4	06.10.2025 00:00	89.804	90.272	89.304	89.513	322
5	07.10.2025 00:00	89.484	89.484	88.569	89.217	420
6	08.10.2025 00:00	89.096	89.33	88.119	88.347	1421
7	09.10.2025 00:00	88.2	89.997	88.127	88.61	227
8	10.10.2025 00:00	88.829	88.934	88.347	88.746	613
9	13.10.2025 00:00	88.66	88.762	87.219	87.414	2697
10	14.10.2025 00:00	87.414	87.452	86.222	86.605	1388
11	15.10.2025 00:00	86.533	86.533	85.254	85.366	648
12	16.10.2025 00:00	85.034	87.494	85.004	87.105	718
13	17.10.2025 00:00	86.954	88.833	86.902	88.407	721
14	20.10.2025 00:00	88.229	88.252	87.612	87.659	526
15	21.10.2025 00:00	87.827	88.98	87.784	88.619	1229
16	22.10.2025 00:00	88.749	89.636	88.137	88.552	357
17	23.10.2025 00:00	88.839	88.919	87.88	88.312	121
18	24.10.2025 00:00	88.583	88.583	86.225	86.4	735
19	27.10.2025 00:00	86.397	86.733	85.285	86.667	319
20	28.10.2025 00:00	86.475	87.052	86.0	86.251	163
21	29.10.2025 00:00	86.34	86.906	86.101	86.642	374
22	30.10.2025 00:00	86.79	87.703	86.79	87.407	115
23	31.10.2025 00:00	87.426	87.705	86.919	86.968	344
24	01.11.2025 00:00	86.9	87.181	86.58	87.128	82
25	03.11.2025 00:00	87.205	87.257	86.162	86.476	471
26	05.11.2025 00:00	86.602	88.113	86.602	88.013	246
27	06.11.2025 00:00	88.068	88.102	87.292	87.591	182
28	07.11.2025 00:00	87.73	87.859	87.0	87.27	111
29	10.11.2025 00:00	87.269	87.751	87.08	87.454	397
30	11.11.2025 00:00	87.455	88.02	86.91	87.201	309
31	12.11.2025 00:00	87.303	87.56	86.971	87.07	169
32	13.11.2025 00:00	87.01	87.01	86.253	86.773	464
33	14.11.2025 00:00	87.079	87.62	86.877	87.068	203
34	17.11.2025 00:00	87.102	87.465	86.601	86.889	560
35	18.11.2025 00:00	86.93	87.183	86.631	87.091	261
36	19.11.2025 00:00	87.092	87.115	86.22	86.504	584
37	20.11.2025 00:00	86.579	86.833	85.426	85.428	882
38	21.11.2025 00:00	85.429	85.669	84.331	84.745	1549
39	24.11.2025 00:00	84.778	84.934	84.021	84.329	878
40	25.11.2025 00:00	84.219	85.002	84.0	84.504	434
41	26.11.2025 00:00	84.471	84.506	83.957	84.149	483
42	27.11.2025 00:00	84.149	84.162	83.553	83.755	1003
43	28.11.2025 00:00	83.808	84.139	82.945	83.061	1993
44	01.12.2025 00:00	83.163	83.423	82.823	83.09	1064
45	02.12.2025 00:00	82.893	83.42	82.5	82.869	808
46	03.12.2025 00:00	83.205	83.45	81.75	82.086	814
47	04.12.2025 00:00	82.09	82.265	80.481	80.843	1483
48	05.12.2025 00:00	80.789	82.29	80.0	82.129	2058
49	08.12.2025 00:00	82.15	82.7	81.351	81.915	1974
50	09.12.2025 00:00	82.002	82.741	81.511	82.454	740
51	10.12.2025 00:00	82.344	84.089	82.343	83.769	1353
52	11.12.2025 00:00	83.769	86.0	83.391	84.51	1401
53	12.12.2025 00:00	84.484	84.978	83.998	84.371	2297
54	15.12.2025 00:00	84.421	84.617	83.487	84.298	2157
55	16.12.2025 00:00	84.299	84.381	83.959	84.157	1388
56	17.12.2025 00:00	84.074	85.407	82.0	85.278	2809
